	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
3494	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3495			$39,000		2018-2019	4th	
3496			$39,000		2018-2019	4th	
3497	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
3498	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
3499	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
3500	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
3501	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
3502	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3503	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
3504	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
3505	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
3506	FAMU	COPPS	$16,183		2018-2019		
3507	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
3508	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
3509	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
3510	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
3511	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
3512	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
3513	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
3514	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
3515	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
3516	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
3517	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
3518	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
3519	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
3520	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
3521	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
3522	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
