	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
5778	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
5779	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
5780	University of Reims	Computer Science	$1,400		2018-2019	3rd	
5781	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
5782	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
5783	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5784	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5785	Baylor University (BU)	History	$17,500	0.88	2018-2019		
5786	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
5787	University of Arizona (U of A)		$20,150	0.97	2019-2020		
5788	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
5789	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
5790	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5791	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5792	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
5793	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
5794	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
5795			$39,000		2018-2019	4th	
5796			$39,000		2018-2019	4th	
5797	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
5798	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
5799	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
5800	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
5801	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
5802	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
5803	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
5804	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
5805	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
5806	FAMU	COPPS	$16,183		2018-2019		
5807	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
5808	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
5809	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
5810	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
5811	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
5812	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
5813	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
5814	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
5815	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
5816	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
5817	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
5818	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
5819	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
5820	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
5821	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
5822	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
5823	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
5824	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5825	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5826	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
5827	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
5828	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
5829	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
5830	University of Reims	Computer Science	$1,400		2018-2019	3rd	
5831	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
5832	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
5833	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5834	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5835	Baylor University (BU)	History	$17,500	0.88	2018-2019		
5836	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
5837	University of Arizona (U of A)		$20,150	0.97	2019-2020		
5838	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
5839	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
5840	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5841	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5842	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
5843	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
5844	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
5845			$39,000		2018-2019	4th	
5846			$39,000		2018-2019	4th	
5847	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
5848	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
5849	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
5850	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
5851	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
5852	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
5853	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
5854	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
5855	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
5856	FAMU	COPPS	$16,183		2018-2019		
5857	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
5858	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
5859	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
5860	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
5861	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
5862	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
5863	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
5864	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
5865	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
5866	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
5867	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
5868	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
5869	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
5870	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
5871	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
5872	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
5873	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
5874	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5875	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5876	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
5877	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
5878	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
5879	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
5880	University of Reims	Computer Science	$1,400		2018-2019	3rd	
5881	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
5882	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
5883	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5884	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5885	Baylor University (BU)	History	$17,500	0.88	2018-2019		
5886	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
5887	University of Arizona (U of A)		$20,150	0.97	2019-2020		
5888	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
5889	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
5890	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5891	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5892	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
5893	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
5894	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
5895			$39,000		2018-2019	4th	
5896			$39,000		2018-2019	4th	
5897	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
5898	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
5899	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
5900	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
5901	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
5902	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
5903	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
5904	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
5905	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
5906	FAMU	COPPS	$16,183		2018-2019		
5907	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
5908	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
5909	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
5910	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
5911	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
5912	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
5913	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
5914	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
5915	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
5916	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
5917	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
5918	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
5919	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
5920	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
5921	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
5922	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
5923	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
5924	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5925	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5926	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
5927	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
5928	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
5929	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
5930	University of Reims	Computer Science	$1,400		2018-2019	3rd	
5931	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
5932	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
5933	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5934	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5935	Baylor University (BU)	History	$17,500	0.88	2018-2019		
5936	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
5937	University of Arizona (U of A)		$20,150	0.97	2019-2020		
5938	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
5939	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
5940	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5941	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5942	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
5943	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
5944	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
5945			$39,000		2018-2019	4th	
5946			$39,000		2018-2019	4th	
5947	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
5948	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
5949	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
5950	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
5951	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
5952	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
5953	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
5954	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
5955	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
5956	FAMU	COPPS	$16,183		2018-2019		
5957	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
5958	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
5959	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
5960	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
5961	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
5962	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
5963	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
5964	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
5965	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
5966	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
5967	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
5968	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
5969	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
5970	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
5971	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
5972	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
5973	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
5974	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5975	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
5976	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
5977	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
5978	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
5979	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
5980	University of Reims	Computer Science	$1,400		2018-2019	3rd	
5981	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
5982	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
5983	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5984	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
5985	Baylor University (BU)	History	$17,500	0.88	2018-2019		
5986	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
5987	University of Arizona (U of A)		$20,150	0.97	2019-2020		
5988	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
5989	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
5990	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5991	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
5992	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
5993	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
5994	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
5995			$39,000		2018-2019	4th	
5996			$39,000		2018-2019	4th	
5997	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
5998	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
5999	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
6000	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
6001	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
6002	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
6003	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
6004	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
6005	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
6006	FAMU	COPPS	$16,183		2018-2019		
6007	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
6008	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
6009	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
6010	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
6011	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
6012	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
6013	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
6014	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
6015	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
6016	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
6017	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
6018	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
6019	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
6020	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
6021	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
6022	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
6023	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
6024	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6025	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6026	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
6027	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
6028	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
6029	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
6030	University of Reims	Computer Science	$1,400		2018-2019	3rd	
6031	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
6032	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
6033	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
6034	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
6035	Baylor University (BU)	History	$17,500	0.88	2018-2019		
6036	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
6037	University of Arizona (U of A)		$20,150	0.97	2019-2020		
6038	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
6039	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
6040	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
6041	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
6042	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
6043	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
6044	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
6045			$39,000		2018-2019	4th	
6046			$39,000		2018-2019	4th	
